"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8397","description: mettre un produit dans le panier avec le fechier pom","firefox","2026-03-25","passed","2026-03-25","","productpom.spec.ts","",""
"","8509","pour tester le getByRole pour un login invalid","webkit","2026-03-25","passed","2026-03-25","","login_role.spec.ts","",""
"","15883","logine with jdd","chromium","2026-03-25","passed","2026-03-25","","loginjdd.spec.ts","",""
"","31225","verifier le panier des produit avec la notion du pom","webkit","2026-03-26","broken","2026-03-26","","panierpom.spec.ts","",""
"","2748","description : mettre un produit dans le panier","chromium","2026-03-25","passed","2026-03-25","","produit.spec.ts","",""
"","3565","loginWithPom","webkit","2026-03-25","passed","2026-03-25","","loginpom.spec.ts","",""
"","30689","verifier le panier des produit avec la notion du pom","chromium","2026-03-26","broken","2026-03-26","","panierpom.spec.ts","",""
"","3893","login non valid with pom","webkit","2026-03-25","passed","2026-03-25","","loginpom.spec.ts","",""
"","7038","login valid","chromium","2026-03-25","passed","2026-03-25","","login.spec.ts","",""
"","6207","verifier le panier des produit avec la notion du pom","webkit","2026-03-26","passed","2026-03-26","","panierpom.spec.ts","",""
"","3642","login non valid","webkit","2026-03-25","passed","2026-03-25","","login.spec.ts","",""
"","3172","description : mettre un produit dans le panier","firefox","2026-03-25","passed","2026-03-25","","produit.spec.ts","",""
"","2469","description: mettre un produit dans le panier avec le fechier pom","chromium","2026-03-25","passed","2026-03-25","","productpom.spec.ts","",""
"","11044","verifier le panier des produit avec la notion du pom","firefox","2026-03-26","passed","2026-03-26","","panierpom.spec.ts","",""
"","2897","login non valid","firefox","2026-03-25","failed","2026-03-25","","login.spec.ts","",""
"","4220","login valid","webkit","2026-03-25","passed","2026-03-25","","login.spec.ts","",""
"","7556","loginWithPom","chromium","2026-03-25","passed","2026-03-25","","loginpom.spec.ts","",""
"","3526","login non valid with pom","firefox","2026-03-25","passed","2026-03-25","","loginpom.spec.ts","",""
"","5456","login non valid","chromium","2026-03-25","passed","2026-03-25","","login.spec.ts","",""
"","5579","login non valid with pom","chromium","2026-03-25","passed","2026-03-25","","loginpom.spec.ts","",""
"","17636","description : ouvrir les pages de navig","chromium","2026-03-25","passed","2026-03-25","","premier_test.spec.ts","",""
"","8073","pour tester le getByRole","webkit","2026-03-25","passed","2026-03-25","","login_role.spec.ts","",""
"","3931","loginWithPom","firefox","2026-03-25","passed","2026-03-25","","loginpom.spec.ts","",""
"","10687","pour tester le getByRole pour un login invalid","firefox","2026-03-25","failed","2026-03-25","","login_role.spec.ts","",""
"","33177","verifier le panier des produit avec la notion du pom","firefox","2026-03-26","broken","2026-03-26","","panierpom.spec.ts","",""
"","24688","pour tester le getByRole pour un login invalid","chromium","2026-03-25","passed","2026-03-25","","login_role.spec.ts","",""
"","3534","description: mettre un produit dans le panier avec le fechier pom","webkit","2026-03-25","passed","2026-03-25","","productpom.spec.ts","",""
"","4499","description : mettre un produit dans le panier","webkit","2026-03-25","passed","2026-03-25","","produit.spec.ts","",""
"","15333","verifier le panier des produit avec la notion du pom","chromium","2026-04-02","passed","2026-04-02","","panierpom.spec.ts","",""
"","2963","description : ouvrir les pages de navig","firefox","2026-03-25","passed","2026-03-25","","premier_test.spec.ts","",""
"","22258","logine with jdd","firefox","2026-03-25","passed","2026-03-25","","loginjdd.spec.ts","",""
"","16585","logine with jdd","webkit","2026-03-25","passed","2026-03-25","","loginjdd.spec.ts","",""
"","9957","pour tester le getByRole","firefox","2026-03-25","passed","2026-03-25","","login_role.spec.ts","",""
"","1749","description : ouvrir les pages de navig","webkit","2026-03-25","passed","2026-03-25","","premier_test.spec.ts","",""
"","25342","pour tester le getByRole","chromium","2026-03-25","passed","2026-03-25","","login_role.spec.ts","",""
"","6577","login valid","firefox","2026-03-25","passed","2026-03-25","","login.spec.ts","",""
